Land_ID,Group,Priority,L_ini,L_dev,L_mid,L_late,Kci,Kcm,Kce,RootDepth,CropDepletionFactor,LandFracTS,LandFracTS_Dom,Kc_TS,AddedWaterTS,CropFracFile,PlantDayFile,SeasonLengthFile
Millet_1,Irrigated,11,0.14,0.22,0.4,0.24,0.3,1,0.3,1000,0.55,CDL-US-M_millet_1_irr_fr,CDL-US-M_millet_1_irr_dom,CDL-US-M_millet_1_irr_Kc,CDL-US_IrrCrop6_sub1,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/IrrCrop6_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/IrrCrop6_sub1_season_length.nc:season_length,
Sorghum_1,Irrigated,12,0.15,0.28,0.33,0.24,0.3,1.1,0.55,1000,0.55,CDL-US-M_sorghum_1_irr_fr,CDL-US-M_sorghum_1_irr_dom,CDL-US-M_sorghum_1_irr_Kc,CDL-US_IrrCrop7_sub1,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/IrrCrop7_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/IrrCrop7_sub1_season_length.nc:season_length,
Sorghum_2,Irrigated,13,0.15,0.28,0.33,0.24,0.3,1.1,0.55,1000,0.55,CDL-US-M_sorghum_2_irr_fr,CDL-US-M_sorghum_2_irr_dom,CDL-US-M_sorghum_2_irr_Kc,CDL-US_IrrCrop7_sub2,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/IrrCrop7_sub2_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/IrrCrop7_sub2_season_length.nc:season_length,
Soybeans_1,Irrigated,14,0.15,0.2,0.45,0.2,0.4,1.15,0.5,600,0.5,CDL-US-M_soybeans_1_irr_fr,CDL-US-M_soybeans_1_irr_dom,CDL-US-M_soybeans_1_irr_Kc,CDL-US_IrrCrop8_sub1,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/IrrCrop8_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/IrrCrop8_sub1_season_length.nc:season_length,
Sunflower_1,Irrigated,15,0.19,0.27,0.35,0.19,0.35,1.1,0.25,800,0.45,CDL-US-M_sunflower_1_irr_fr,CDL-US-M_sunflower_1_irr_dom,CDL-US-M_sunflower_1_irr_Kc,CDL-US_IrrCrop9_sub1,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/IrrCrop9_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/IrrCrop9_sub1_season_length.nc:season_length,
Potatoes_1,Irrigated,16,0.2,0.25,0.35,0.2,1.15,0.5,0.4,400,0.35,CDL-US-M_potatoes_1_irr_fr,CDL-US-M_potatoes_1_irr_dom,CDL-US-M_potatoes_1_irr_Kc,CDL-US_IrrCrop10_sub1,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/IrrCrop10_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/IrrCrop10_sub1_season_length.nc:season_length,
Sugarcane_1,Irrigated,18,0,0,1,0,0,0.9,0,1200,0.65,CDL-US-M_sugarcane_1_irr_fr,CDL-US-M_sugarcane_1_irr_dom,CDL-US-M_sugarcane_1_irr_Kc,CDL-US_IrrCrop12_sub1,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/IrrCrop12_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/IrrCrop12_sub1_season_length.nc:season_length,
Sugarbeet_1,Irrigated,19,0.2,0.25,0.35,0.2,0.35,1.2,0.8,700,0.55,CDL-US-M_sugarbeet_1_irr_fr,CDL-US-M_sugarbeet_1_irr_dom,CDL-US-M_sugarbeet_1_irr_Kc,CDL-US_IrrCrop13_sub1,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/IrrCrop13_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/IrrCrop13_sub1_season_length.nc:season_length,
Canola_1,Irrigated,21,0.3,0.25,0.3,0.15,0.35,1.1,0.35,1000,0.6,CDL-US-M_canola_1_irr_fr,CDL-US-M_canola_1_irr_dom,CDL-US-M_canola_1_irr_Kc,CDL-US_IrrCrop15_sub1,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/IrrCrop15_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/IrrCrop15_sub1_season_length.nc:season_length,
Groundnuts_1,Irrigated,22,0.22,0.28,0.3,0.2,0.4,1.15,0.6,1000,0.5,CDL-US-M_groundnuts_1_irr_fr,CDL-US-M_groundnuts_1_irr_dom,CDL-US-M_groundnuts_1_irr_Kc,CDL-US_IrrCrop16_sub1,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/IrrCrop16_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/IrrCrop16_sub1_season_length.nc:season_length,
Pulses_1,Irrigated,23,0.18,0.27,0.35,0.2,0.45,1.1,0.6,550,0.45,CDL-US-M_pulses_1_irr_fr,CDL-US-M_pulses_1_irr_dom,CDL-US-M_pulses_1_irr_Kc,CDL-US_IrrCrop17_sub1,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/IrrCrop17_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/IrrCrop17_sub1_season_length.nc:season_length,
Citrus_1,Irrigated,24,0.16,0.25,0.33,0.26,0.8,0.8,0.8,1300,0.5,CDL-US-M_citrus_1_irr_fr,CDL-US-M_citrus_1_irr_dom,CDL-US-M_citrus_1_irr_Kc,CDL-US_IrrCrop18_sub1,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/IrrCrop18_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/IrrCrop18_sub1_season_length.nc:season_length,
Vine_1,Irrigated,26,0.3,0.14,0.2,0.36,0.3,0.8,0.3,1000,0.4,CDL-US-M_vine_1_irr_fr,CDL-US-M_vine_1_irr_dom,CDL-US-M_vine_1_irr_Kc,CDL-US_IrrCrop20_sub1,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/IrrCrop20_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/IrrCrop20_sub1_season_length.nc:season_length,
Cotton_1,Irrigated,27,0.17,0.33,0.25,0.25,0.35,1.18,0.6,1500,0.65,CDL-US-M_cotton_1_irr_fr,CDL-US-M_cotton_1_irr_dom,CDL-US-M_cotton_1_irr_Kc,CDL-US_IrrCrop21_sub1,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Start_day/IrrCrop21_sub1_start_day.nc:start_day,NETCDF:/net/nfs/bog/raid/data/dgrogan/MIRCA_data/WBM_format/Season_length/IrrCrop21_sub1_season_length.nc:season_length,
